city_norm,snapshot_year,price_level,price_momentum_3y,y_cagr_10y
SLATON,2013,75445.9574712703,-0.0037781981090395655,0.06121088636543526
SLATON,2014,78337.6952100506,0.026816416982154534,0.0568240140156
SLATON,2015,78110.58352419757,0.018346455311811116,0.05397240035239492
SMITHVILLE,2000,120471.81303002185,,0.01816470079160526
SMITHVILLE,2001,125395.22930658942,,0.0130479011679685
SMITHVILLE,2002,132148.84091219804,,0.010156372616111353
SMITHVILLE,2003,133735.10924216633,0.03542821902003612,0.013678863211998404
SMITHVILLE,2004,134870.18066466754,0.024577879069356046,0.02375700622416077
SMITHVILLE,2005,145644.99483936306,0.032945485927272644,0.026011272080867842
SMITHVILLE,2006,146235.66361639136,0.030234180369230756,0.03611783616778386
SMITHVILLE,2007,150629.34798468903,0.037523364650321245,0.03997242872398177
SMITHVILLE,2008,149731.9900071457,0.009267629037723824,0.04657747085360153
SMITHVILLE,2009,146090.8189050003,-0.0003302718285228545,0.05458770327787854
SMITHVILLE,2010,144233.38909830296,-0.014359052829506669,0.06637099895015064
SMITHVILLE,2011,142751.54756965104,-0.01578780288218362,0.09317509825831771
SMITHVILLE,2012,146200.6951987345,0.00025064034305666283,0.10234624719668561
SMITHVILLE,2013,153196.67714574203,0.02029990379652702,0.08465821273581753
SMITHVILLE,2014,170562.99311213577,0.061128537702612507,0.07289618032137901
SMITHVILLE,2015,188285.50410695263,0.0879839347120317,0.0615248355142235
SOCORRO,2000,86498.47815136817,,0.028232770470347113
SOCORRO,2001,81939.83865587322,,0.030123103834730713
SOCORRO,2002,86298.64781950695,,0.0215630306480854
SOCORRO,2003,90170.8134587588,0.013956149908800564,0.016713860660635627
SOCORRO,2004,95130.74059284956,0.05101421784895588,0.012832096067361354
SOCORRO,2005,104224.95771948918,0.06493372037537681,0.009397172755818195
SOCORRO,2006,114141.7360612153,0.08174815226124466,0.0022349530152658836
SOCORRO,2007,121555.65303454858,0.08513747254777138,-0.002033120701582125
SOCORRO,2008,112936.46900683704,0.027119148663449,0.007537571169973667
SOCORRO,2009,107953.07142856233,-0.018409884427661338,0.01626499161883599
SOCORRO,2010,114267.53970192994,-0.020398957543183105,0.019528333282250232
SOCORRO,2011,110251.97598405456,-0.007986934418296676,0.036557120690217326
SOCORRO,2012,106820.7614712948,-0.0035085989147279895,0.05514557767785666
SOCORRO,2013,106427.39449415776,-0.023414696246576217,0.06179885985354905
SOCORRO,2014,108067.5814516933,-0.006648351705151101,0.06361838773596418
SOCORRO,2015,114443.87843324628,0.023243432646655737,0.05937754955650121
SOMERSET,2000,92346.21744841796,,0.02115854006124107
SOMERSET,2001,92651.76285864491,,0.00945668711764669
SOMERSET,2002,93092.83466468664,,0.012692130034249516
SOMERSET,2003,98659.1212306396,0.022286699772108953,0.011951514881541447
SOMERSET,2004,109535.4858268942,0.05738639281251867,0.014559249454105805
SOMERSET,2005,109137.58847510796,0.05443391498829531,0.028136172485553557
SOMERSET,2006,112800.4456461137,0.045661675181916106,0.02942434085640433
SOMERSET,2007,118977.15939297991,0.02794430703210038,0.03274125925007465
SOMERSET,2008,115116.45575703838,0.017937277702831267,0.042733068738912694
SOMERSET,2009,114539.21717542633,0.00511201619941537,0.049458819964598666
SOMERSET,2010,113854.66995952734,-0.014562501532076944,0.06355111841252503
SOMERSET,2011,101795.96892113436,-0.04016247772357873,0.08618280859054828
SOMERSET,2012,105606.48897536677,-0.026702821193691717,0.08855445078031776
SOMERSET,2013,111105.17596811603,-0.008115399648600752,0.07829938654644364
